"No.","Time","Source","Signal strength (dBm)","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Transmit Beam Forming (TxBF) Capabilities (VS)","Channel","UUID Enrollee","Primary Device Type","Model Name","Model Number","Device Name","Vendor Extension","Vendor ID","OUI"
"770350","2017-07-12 13:17:37.372652620","2c:0e:3d:d8:aa:98","-54","3421","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"770377","2017-07-12 13:17:37.392793482","2c:0e:3d:d8:aa:98","-47","3422","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"784039","2017-07-12 13:17:43.742703956","c0:ee:fb:5e:49:36","-54","3492","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"784048","2017-07-12 13:17:43.752991273","c0:ee:fb:5e:49:36","-53","3493","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"784056","2017-07-12 13:17:43.763041818","c0:ee:fb:5e:49:36","-55","3494","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"784059","2017-07-12 13:17:43.773038446","c0:ee:fb:5e:49:36","-54","3495","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"784074","2017-07-12 13:17:43.791023779","c0:ee:fb:5e:49:36","-56","3496","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"784075","2017-07-12 13:17:43.792982721","c0:ee:fb:5e:49:36","-56","3497","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"792855","2017-07-12 13:17:47.886020099","2c:0e:3d:d8:aa:98","-57","3450","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"792888","2017-07-12 13:17:47.905089033","2c:0e:3d:d8:aa:98","-56","3451","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"793043","2017-07-12 13:17:47.975450216","2c:0e:3d:d8:aa:98","-57","3454","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
