"No.","Time","Source","Destination","Length","Signal strength (dBm)","Frame Number","Frequency","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Rx Modulation and Coding Scheme (One bit per modulation)","Antenna Selection (ASEL) Capabilities (VS)","Transmit Beam Forming (TxBF) Capabilities (VS)"
"1721","2017-07-02 16:24:37.238086692","LgElectr_0d:f5:8b","Broadcast","166","-41","1721","2462","3081","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1722","2017-07-02 16:24:37.248426841","LgElectr_0d:f5:8b","Broadcast","166","-44","1722","2462","3082","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1726","2017-07-02 16:24:37.271223130","LgElectr_0d:f5:8b","Broadcast","166","-50","1726","2462","3084","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1798","2017-07-02 16:24:45.302177685","HuaweiTe_fd:87:ce","Broadcast","295","-93","1798","2412","3944","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1799","2017-07-02 16:24:45.304439551","HuaweiTe_fd:87:ce","Broadcast","279","-93","1799","2412","3945","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1812","2017-07-02 16:24:46.855533314","HuaweiTe_fd:87:ce","Broadcast","295","-91","1812","2422","3956","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1813","2017-07-02 16:24:46.857680184","HuaweiTe_fd:87:ce","Broadcast","279","-90","1813","2422","3957","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1814","2017-07-02 16:24:47.115474752","LgElectr_0d:f5:8b","Broadcast","166","-40","1814","2452","3143","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1825","2017-07-02 16:24:48.064138560","HuaweiTe_fd:87:ce","Broadcast","295","-89","1825","2462","3979","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1828","2017-07-02 16:24:48.071567730","HuaweiTe_fd:87:ce","Broadcast","279","-87","1828","2462","3980","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1833","2017-07-02 16:24:48.311023317","HuaweiTe_fd:87:ce","Broadcast","295","-87","1833","2437","3987","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1834","2017-07-02 16:24:48.372940834","HuaweiTe_fd:87:ce","Broadcast","295","-87","1834","2437","3989","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1835","2017-07-02 16:24:48.375202107","HuaweiTe_fd:87:ce","Broadcast","279","-90","1835","2437","3990","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1838","2017-07-02 16:24:48.681630727","HuaweiTe_fd:87:ce","Broadcast","295","-94","1838","2412","3999","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1839","2017-07-02 16:24:48.683878367","HuaweiTe_fd:87:ce","Broadcast","279","-95","1839","2412","4000","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1860","2017-07-02 16:24:51.516998141","LgElectr_0d:f5:8b","Broadcast","166","-37","1860","2462","3206","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1863","2017-07-02 16:24:51.538171217","LgElectr_0d:f5:8b","Broadcast","166","-35","1863","2462","3207","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1866","2017-07-02 16:24:51.559211057","LgElectr_0d:f5:8b","Broadcast","166","-36","1866","2462","3208","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1899","2017-07-02 16:24:55.038785192","SamsungE_c7:e2:de","Broadcast","156","-84","1899","2432","9","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x1020","0x1a","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),DS Parameter set,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1900","2017-07-02 16:24:55.080683227","SamsungE_c7:e2:de","Broadcast","156","-83","1900","2432","10","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x1020","0x1a","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),DS Parameter set,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1905","2017-07-02 16:24:55.675087675","SamsungE_c7:e2:de","Broadcast","156","-87","1905","2467","24","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x1020","0x1a","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),DS Parameter set,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1923","2017-07-02 16:24:56.178430253","HuaweiTe_fd:87:ce","Broadcast","279","-89","1923","2442","4024","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1924","2017-07-02 16:24:56.485294019","HuaweiTe_fd:87:ce","Broadcast","295","-92","1924","2472","4033","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1925","2017-07-02 16:24:56.487435132","HuaweiTe_fd:87:ce","Broadcast","279","-92","1925","2472","4034","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1928","2017-07-02 16:24:56.913566787","LgElectr_0d:f5:8b","Broadcast","166","-48","1928","2417","3212","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1933","2017-07-02 16:24:56.924589282","LgElectr_0d:f5:8b","Broadcast","166","-49","1933","2417","3213","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1938","2017-07-02 16:24:57.012499420","LgElectr_0d:f5:8b","Broadcast","166","-67","1938","2447","3221","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1939","2017-07-02 16:24:57.071017414","LgElectr_0d:f5:8b","Broadcast","166","-54","1939","2447","3224","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1940","2017-07-02 16:24:57.092775937","LgElectr_0d:f5:8b","Broadcast","166","-48","1940","2447","3226","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1941","2017-07-02 16:24:57.103219642","LgElectr_0d:f5:8b","Broadcast","166","-46","1941","2447","3227","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1942","2017-07-02 16:24:57.114672267","LgElectr_0d:f5:8b","Broadcast","166","-43","1942","2447","3228","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1943","2017-07-02 16:24:57.124924263","LgElectr_0d:f5:8b","Broadcast","166","-43","1943","2447","3229","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1944","2017-07-02 16:24:57.137124943","LgElectr_0d:f5:8b","Broadcast","166","-45","1944","2447","3230","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1945","2017-07-02 16:24:57.147391778","LgElectr_0d:f5:8b","Broadcast","166","-45","1945","2447","3231","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"1975","2017-07-02 16:25:00.311609353","HuaweiTe_fd:87:ce","Broadcast","295","-93","1975","2417","4066","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1976","2017-07-02 16:25:00.313887341","HuaweiTe_fd:87:ce","Broadcast","279","-98","1976","2417","4067","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1979","2017-07-02 16:25:00.682380432","HuaweiTe_fd:87:ce","Broadcast","295","-90","1979","2447","4078","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1988","2017-07-02 16:25:01.663846911","HuaweiTe_fd:87:ce","Broadcast","295","-86","1988","2427","1","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1989","2017-07-02 16:25:01.665996912","HuaweiTe_fd:87:ce","Broadcast","279","-88","1989","2427","2","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1991","2017-07-02 16:25:01.974730072","HuaweiTe_fd:87:ce","Broadcast","279","-92","1991","2457","12","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1992","2017-07-02 16:25:02.034252487","HuaweiTe_fd:87:ce","Broadcast","295","-86","1992","2457","13","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"1994","2017-07-02 16:25:02.326063068","ZteCorpo_c3:75:8b","Broadcast","82","-91","1994","2432","769","","1,2,5.5,11,6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates","","",""
"2013","2017-07-02 16:25:03.654181820","HuaweiTe_fd:87:ce","Broadcast","295","-83","2013","2472","46","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"2014","2017-07-02 16:25:03.656444002","HuaweiTe_fd:87:ce","Broadcast","279","-83","2014","2472","47","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"2184","2017-07-02 16:25:17.151542600","LgElectr_0d:f5:8b","Broadcast","166","-49","2184","2437","3404","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2185","2017-07-02 16:25:17.168013736","LgElectr_0d:f5:8b","Broadcast","166","-42","2185","2437","3405","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2186","2017-07-02 16:25:17.183418890","LgElectr_0d:f5:8b","Broadcast","166","-43","2186","2437","3406","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2187","2017-07-02 16:25:17.199874618","LgElectr_0d:f5:8b","Broadcast","166","-42","2187","2437","3407","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2188","2017-07-02 16:25:17.215200118","LgElectr_0d:f5:8b","Broadcast","166","-42","2188","2437","3408","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2189","2017-07-02 16:25:17.231679369","LgElectr_0d:f5:8b","Broadcast","166","-43","2189","2437","3409","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2190","2017-07-02 16:25:17.247182013","LgElectr_0d:f5:8b","Broadcast","166","-34","2190","2437","3410","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2193","2017-07-02 16:25:17.360727813","LgElectr_0d:f5:8b","Broadcast","166","-34","2193","2467","3417","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2195","2017-07-02 16:25:17.375800715","LgElectr_0d:f5:8b","Broadcast","166","-46","2195","2467","3418","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2198","2017-07-02 16:25:17.392085896","LgElectr_0d:f5:8b","Broadcast","166","-35","2198","2467","3419","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2200","2017-07-02 16:25:17.407380863","LgElectr_0d:f5:8b","Broadcast","166","-53","2200","2467","3420","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2201","2017-07-02 16:25:17.423842544","LgElectr_0d:f5:8b","Broadcast","166","-46","2201","2467","3421","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2202","2017-07-02 16:25:17.439224971","LgElectr_0d:f5:8b","Broadcast","166","-47","2202","2467","3422","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2231","2017-07-02 16:25:19.305106581","BskybLtd_69:2b:aa","Broadcast","110","-92","2231","2422","2616","","1(B),2(B),5.5(B),11(B),9,18,36,54","6,12,24,48","0x11ee","0x13","0x0c00","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10)","","",""
"2298","2017-07-02 16:25:22.777957080","LgElectr_0d:f5:8b","Broadcast","172","-45","2298","2422","3468","Attila","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2304","2017-07-02 16:25:22.801343329","LgElectr_0d:f5:8b","Broadcast","172","-37","2304","2422","3470","Attila","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2305","2017-07-02 16:25:22.811689841","LgElectr_0d:f5:8b","Broadcast","172","-36","2305","2422","3471","Attila","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2306","2017-07-02 16:25:22.823231994","LgElectr_0d:f5:8b","Broadcast","172","-31","2306","2422","3472","Attila","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2307","2017-07-02 16:25:22.833570794","LgElectr_0d:f5:8b","Broadcast","172","-32","2307","2422","3473","Attila","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2308","2017-07-02 16:25:22.845008575","LgElectr_0d:f5:8b","Broadcast","172","-33","2308","2422","3474","Attila","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2309","2017-07-02 16:25:22.855384709","LgElectr_0d:f5:8b","Broadcast","172","-35","2309","2422","3475","Attila","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2313","2017-07-02 16:25:22.989796720","LgElectr_0d:f5:8b","Broadcast","172","-83","2313","2422","3486","Attila","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2314","2017-07-02 16:25:23.011577452","LgElectr_0d:f5:8b","Broadcast","172","-34","2314","2452","3488","Attila","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2315","2017-07-02 16:25:23.023143964","LgElectr_0d:f5:8b","Broadcast","172","-35","2315","2452","3489","Attila","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2316","2017-07-02 16:25:23.033497507","LgElectr_0d:f5:8b","Broadcast","172","-34","2316","2452","3490","Attila","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2317","2017-07-02 16:25:23.146279916","LgElectr_0d:f5:8b","Broadcast","172","-76","2317","2452","3499","Attila","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2403","2017-07-02 16:25:28.173087912","HuaweiTe_fd:87:ce","Broadcast","295","-85","2403","2467","127","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"2404","2017-07-02 16:25:28.175329959","HuaweiTe_fd:87:ce","Broadcast","279","-85","2404","2467","128","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"2458","2017-07-02 16:25:30.945555862","LgElectr_0d:f5:8b","Broadcast","166","-79","2458","2457","3577","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2459","2017-07-02 16:25:30.962003447","LgElectr_0d:f5:8b","Broadcast","166","-70","2459","2457","3578","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2464","2017-07-02 16:25:31.028349976","LgElectr_0d:f5:8b","Broadcast","166","-73","2464","2432","3582","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2465","2017-07-02 16:25:31.043549368","LgElectr_0d:f5:8b","Broadcast","166","-77","2465","2432","3583","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x112d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Specific","","0x00","0x00000000"
"2539","2017-07-02 16:25:36.069823841","HuaweiTe_cf:32:2d","Broadcast","102","-88","2539","2442","3275","BT ITINTES OO6988","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,DS Parameter set,Extended Supported Rates","","",""
