"No.","Time","Source","Signal strength (dBm)","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Transmit Beam Forming (TxBF) Capabilities (VS)","Channel","UUID Enrollee","Primary Device Type","Model Name","Model Number","Device Name","Vendor Extension","Vendor ID","OUI"
"66129","2017-07-12 12:31:53.407557853","c0:ee:fb:5e:49:36","-39","2143","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"66135","2017-07-12 12:31:53.435208628","c0:ee:fb:5e:49:36","-41","2144","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"66136","2017-07-12 12:31:53.437696745","c0:ee:fb:5e:49:36","-38","2145","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"66142","2017-07-12 12:31:53.454451973","c0:ee:fb:5e:49:36","-47","2146","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"66143","2017-07-12 12:31:53.457666041","c0:ee:fb:5e:49:36","-47","2147","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"66164","2017-07-12 12:31:53.677586817","c0:ee:fb:5e:49:36","-81","2167","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"66963","2017-07-12 12:32:02.787413379","d0:65:ca:4b:77:d4","-75","2979","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates,Vendor Specific,Vendor Specific","","1","ad5f04e6ebdd5dfba4b7ca55d7fcaa78","000a0050f2040005","HUAWEI TAG-L01","HUAWEI TAG-L01","TAG-L01","00372a000120","14122","00-50-f2,50-6f-9a"
"66966","2017-07-12 12:32:02.792264234","d0:65:ca:4b:77:d4","-76","2980","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates,Vendor Specific,Vendor Specific","","1","ad5f04e6ebdd5dfba4b7ca55d7fcaa78","000a0050f2040005","HUAWEI TAG-L01","HUAWEI TAG-L01","TAG-L01","00372a000120","14122","00-50-f2,50-6f-9a"
"66978","2017-07-12 12:32:02.850042308","70:e0:27:16:0d:6c","-83","2456","","1,2,5.5,11,6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates,Vendor Specific,Vendor Specific","","1","fdc657e512cc50b0b73db1423a95f5c7","000a0050f2040005","401Extreme","401Extreme","401Extreme","00372a000120","14122","00-50-f2,50-6f-9a"
"66982","2017-07-12 12:32:02.856827218","70:e0:27:16:0d:6c","-84","2457","","1,2,5.5,11,6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates,Vendor Specific,Vendor Specific","","1","fdc657e512cc50b0b73db1423a95f5c7","000a0050f2040005","401Extreme","401Extreme","401Extreme","00372a000120","14122","00-50-f2,50-6f-9a"
"66991","2017-07-12 12:32:02.871362062","d0:65:ca:4b:77:d4","-70","2981","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates,Vendor Specific,Vendor Specific","","1","ad5f04e6ebdd5dfba4b7ca55d7fcaa78","000a0050f2040005","HUAWEI TAG-L01","HUAWEI TAG-L01","TAG-L01","00372a000120","14122","00-50-f2,50-6f-9a"
"67002","2017-07-12 12:32:02.913585851","70:e0:27:16:0d:6c","-87","2458","","1,2,5.5,11,6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates,Vendor Specific,Vendor Specific","","1","fdc657e512cc50b0b73db1423a95f5c7","000a0050f2040005","401Extreme","401Extreme","401Extreme","00372a000120","14122","00-50-f2,50-6f-9a"
"67008","2017-07-12 12:32:02.935744818","d0:65:ca:4b:77:d4","-83","2983","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates,Vendor Specific,Vendor Specific","","1","ad5f04e6ebdd5dfba4b7ca55d7fcaa78","000a0050f2040005","HUAWEI TAG-L01","HUAWEI TAG-L01","TAG-L01","00372a000120","14122","00-50-f2,50-6f-9a"
