,companyName,country,prefix,streetAddress1,streetAddress2
98,"Chicony Electronics Co., Ltd.",TW,907F61,"No.25, Wu-Gong 6th Rd., Wu Ku Industrial Park,","New Taipei City,    248"
99,SourcingOverseas Co. Ltd,TW,28BC18,"2F., No.616, Sec.5, Zhongshan N. Rd., Shilin Dist.,",Taipei City    111
100,HTC Corporation,TW,807ABF,"No. 23, Xinghua Rd., Taoyuan City",Taoyuan County  Taiwan  330
101,Jide Technology (Hong Kong) Limited,CN,409F87,"jiahua Mansion 3F, 133 North 4th Ring Road East, Chaoyang District",Beijing    100101
102,"Google, Inc.",US,3C5AB4,1600 Amphitheatre Parkway,Mountain View    94043
103,"Google, Inc.",US,001A11,1600 Amphitheater Parkway,Mountain View  CA  94043
104,Shenzhen TINNO Mobile Technology Corp.,CN,D83C69,"4/F.,H-3 Building,OCT Eastern lndustrial Park. NO.1 XiangShan East Road",SHENZHEN  GUANGDONG  518053
105,"Qiku Internet Network Scientific (Shenzhen) Co., Ltd.",CN,74AC5F,"Cyber Harbor, 2nd Mengxi Road, Hi-Tech Industrial Park (North), NanShan District",ShenZhen  GuangDong  518000
106,"Apple, Inc.",US,18AF61,1 Infinite Loop,Cupertino  CA  95014
107,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",CN,BC83A7,"Unit A 13-16/F,Skyworth Bldg., Gaoxin Ave.1.S.,Nanshan District",Shenzhen  GuangDong   518057
108,Intel Corporation,US,000347,M/S:  JF3-420,Hillsboro  OR  97124
109,Intel Corporation,US,001175, 5200 NE ELAM YOUNG PARKWAY,HIllsboro  OR  97124
110,Intel Corporate,MY,0013E8,"Lot 8, Jalan Hi-tech 2/3",Kulim  Kedah  09000
111,Intel Corporate,MY,001302,"Lot 8, Jalan Hi-tech 2/3",Kulim  Kedah  09000
112,Intel Corporate,MY,E4F89C,"Lot 8, Jalan Hi-Tech 2/3",Kulim  Kedah  09000
