,Unnamed: 0,companyName,country,prefix,streetAddress1,streetAddress2
99,99,SourcingOverseas Co. Ltd,TW,28:bc:18,"2F., No.616, Sec.5, Zhongshan N. Rd., Shilin Dist.,",Taipei City    111
100,100,HTC Corporation,TW,80:7a:bf,"No. 23, Xinghua Rd., Taoyuan City",Taoyuan County  Taiwan  330
101,101,Jide Technology (Hong Kong) Limited,CN,40:9f:87,"jiahua Mansion 3F, 133 North 4th Ring Road East, Chaoyang District",Beijing    100101
102,102,"Google, Inc.",US,3c:5a:b4,1600 Amphitheatre Parkway,Mountain View    94043
103,103,"Google, Inc.",US,00:1a:11,1600 Amphitheater Parkway,Mountain View  CA  94043
104,104,Shenzhen TINNO Mobile Technology Corp.,CN,d8:3c:69,"4/F.,H-3 Building,OCT Eastern lndustrial Park. NO.1 XiangShan East Road",SHENZHEN  GUANGDONG  518053
105,105,"Qiku Internet Network Scientific (Shenzhen) Co., Ltd.",CN,74:ac:5f,"Cyber Harbor, 2nd Mengxi Road, Hi-Tech Industrial Park (North), NanShan District",ShenZhen  GuangDong  518000
106,106,"Apple, Inc.",US,18:af:61,1 Infinite Loop,Cupertino  CA  95014
107,107,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",CN,bc:83:a7,"Unit A 13-16/F,Skyworth Bldg., Gaoxin Ave.1.S.,Nanshan District",Shenzhen  GuangDong   518057
108,108,Intel Corporation,US,00:03:47,M/S:  JF3-420,Hillsboro  OR  97124
109,109,Intel Corporation,US,00:11:75, 5200 NE ELAM YOUNG PARKWAY,HIllsboro  OR  97124
110,110,Intel Corporate,MY,00:13:e8,"Lot 8, Jalan Hi-tech 2/3",Kulim  Kedah  09000
111,111,Intel Corporate,MY,00:13:02,"Lot 8, Jalan Hi-tech 2/3",Kulim  Kedah  09000
112,112,Intel Corporate,MY,e4:f8:9c,"Lot 8, Jalan Hi-Tech 2/3",Kulim  Kedah  09000
113,113,Intel Corporate,MY,a4:02:b9,"Lot 8, Jalan Hi-Tech 2/3",Kulim  Kedah  09000
114,114,Intel Corporate,MY,4c:34:88,"Lot 8, Jalan Hi-Tech 2/3",Kulim  Kedah  09000
115,115,BUFFALO.INC,JP,00:0d:0b,"MELCO HI-TECH CENTER,",NAGOYA    457-8520
116,116,BUFFALO.INC,JP,00:07:40,"AKAMONDORI Bldg., 30-20,Ohsu 3-chome","Naka-ku,Nagoya  Aichi Pref.  460-8315"
117,117,BUFFALO.INC,JP,00:24:a5,"AKAMONDORI Bldg., 30-20,Ohsu 3-chome","Naka-ku,Nagoya  Aichi Pref.  460-8315"
118,118,BUFFALO.INC,JP,dc:fb:02,"AKAMONDORI Bldg.,30-20,Ohsu 3-chome","Naka-ku,Nagoya  Aichi Pref  460-8315"
119,119,Hewlett Packard,US,f4:ce:46,11445 Compaq Center Drive,Houston    77070
120,120,Hewlett Packard,US,00:1c:c4,20555 State Highway 249,Houston  TX  77070
121,121,Hewlett Packard,US,00:25:b3,20555 State Highway 249,Houston  TX  77070
122,122,Hewlett Packard,US,00:18:71,20555 State Highway 249,Houston  TX  77070
123,123,Hewlett Packard,US,00:0b:cd,20555 State Highway 249,Houston  TX  77070
124,124,Hewlett Packard,US,00:0e:7f,20555 State Highway 249,Houston  TX  77070
125,125,Hewlett Packard,US,00:0f:20,20555 State Highway 249,Houston  TX  77070
126,126,Hewlett Packard,US,00:11:0a,20555 State Highway 249,Houston  TX  77070
127,127,Hewlett Packard,US,00:13:21,20555 State Highway 249,Houston  TX  77070
128,128,Hewlett Packard,US,00:16:35,20555 State Highway 249,Houston  TX  77070
129,129,Hewlett Packard,US,00:17:a4,20555 State Highway 249,Houston  TX  77070
130,130,Hewlett Packard,US,00:08:02,20555 State Highway 249,Houston  TX  77070
131,131,HTC Corporation,TW,90:e7:c4,"No. 23, Xinghua Rd.",Taoyuan County  Taiwan  330
132,132,zte corporation,CN,74:a7:8e,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China",shenzhen  guangdong  518057
133,133,bioMérieux Italia S.p.A.,IT,d8:60:b0,"Via di Campigliano, 58",Bagno a Ripoli  Firenze  50012
134,134,"HUAWEI TECHNOLOGIES CO.,LTD",CN,80:38:bc,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
135,135,"HUAWEI TECHNOLOGIES CO.,LTD",CN,d4:40:f0,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
136,136,"HUAWEI TECHNOLOGIES CO.,LTD",CN,64:a6:51,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
137,137,"HUAWEI TECHNOLOGIES CO.,LTD",CN,e8:cd:2d,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate",Shenzhen  GuangDong  518057
138,138,"HUAWEI TECHNOLOGIES CO.,LTD",CN,ac:e2:15,"Building 17,Nangang Industrial Park, ",Shenzhen  Guangdong  518057
139,139,"HUAWEI TECHNOLOGIES CO.,LTD",CN,ec:23:3d,"Building 17,Nangang Industrial Park, ",Shenzhen  Guangdong  518057
140,140,"HUAWEI TECHNOLOGIES CO.,LTD",CN,78:f5:fd,"Building 17,Nangang Industrial Park, ",Shenzhen  Guangdong  518057
141,141,"HUAWEI TECHNOLOGIES CO.,LTD",CN,80:b6:86,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District ",Shenzhen  Guangdong  518057
142,142,"HUAWEI TECHNOLOGIES CO.,LTD",CN,10:c6:1f,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District ",Shenzhen  Guangdong  518057
